code_commune;latitude;longitude;nom_commune;code_departement;code_region;coordonnees
25504;47.2139578431;6.68360932268;Rosureux;25;27;Point(6.68360932268 47.2139578431)
25505;47.4795835178;6.34800687837;Rougemont;25;27;Point(6.34800687837 47.4795835178)
25506;47.3899184482;6.26250218169;Rougemontot;25;27;Point(6.26250218169 47.3899184482)
25507;47.0820091949;5.96566947588;Rouhe;25;27;Point(5.96566947588 47.0820091949)
25508;47.3176462512;6.23539545398;Roulans;25;27;Point(6.23539545398 47.3176462512)
25510;47.2827813349;5.8036207849;Ruffey-le-Château;25;27;Point(5.8036207849 47.2827813349)
25511;47.0956339388;5.99767264147;Rurey;25;27;Point(5.99767264147 47.0956339388)
25512;47.1549185878;6.73440290446;Russey;25;27;Point(6.73440290446 47.1549185878)
25513;46.9506104043;5.98454603407;Sainte-Anne;25;27;Point(5.98454603407 46.9506104043)
25514;46.7821317328;6.33373558381;Saint-Antoine;25;27;Point(6.33373558381 46.7821317328)
25515;46.8735551517;6.27545445456;Sainte-Colombe;25;27;Point(6.27545445456 46.8735551517)
25516;47.4042841362;6.54940433653;Saint-Georges-Armont;25;27;Point(6.54940433653 47.4042841362)
25517;47.0172420756;6.33611929324;Saint-Gorgon-Main;25;27;Point(6.33611929324 47.0172420756)
25518;47.334610103;6.24519966915;Saint-Hilaire;25;27;Point(6.24519966915 47.334610103)
25519;47.3121318128;6.81240649339;Saint-Hippolyte;25;27;Point(6.81240649339 47.3121318128)
25520;47.2893791065;6.3435136184;Saint-Juan;25;27;Point(6.3435136184 47.2893791065)
25521;47.5191858536;6.7064941383;Saint-Julien-lès-Montbéliard;25;27;Point(6.7064941383 47.5191858536)
25522;47.2167228369;6.72957115326;Saint-Julien-lès-Russey;25;27;Point(6.72957115326 47.2167228369)
25523;47.5016165362;6.69552545899;Sainte-Marie;25;27;Point(6.69552545899 47.5016165362)
25524;47.4316270724;6.65024114123;Saint-Maurice-Colombier;25;27;Point(6.65024114123 47.4316270724)
25525;46.8101118248;6.29601510086;Saint-Point-Lac;25;27;Point(6.29601510086 46.8101118248)
25526;47.5077397674;6.76777970529;Sainte-Suzanne;25;27;Point(6.76777970529 47.5077397674)
25527;47.1854090254;5.82031300598;Saint-Vit;25;27;Point(5.82031300598 47.1854090254)
25528;47.0533990427;5.87931888602;Samson;25;27;Point(5.87931888602 47.0533990427)
25529;47.2902129246;6.5630744882;Sancey;25;27;Point(6.5630744882 47.2902129246)
25531;47.4092325393;6.5028747061;Santoche;25;27;Point(6.5028747061 47.4092325393)
25532;47.214147166;6.1131738065;Saône;25;27;Point(6.1131738065 47.214147166)
25533;46.9920963588;5.97458498115;Saraz;25;27;Point(5.97458498115 46.9920963588)
25534;46.7039578947;6.23498989806;Sarrageois;25;27;Point(6.23498989806 46.7039578947)
25535;47.1247786594;6.20093911163;Saules;25;27;Point(6.20093911163 47.1247786594)
25536;47.3218215365;5.91157630752;Sauvagney;25;27;Point(5.91157630752 47.3218215365)
25537;47.1092770576;6.07924521048;Scey-Maisières;25;27;Point(6.07924521048 47.1092770576)
25538;47.3399206396;6.28584511436;Séchin;25;27;Point(6.28584511436 47.3399206396)
25539;47.4569305468;6.86452195563;Seloncourt;25;27;Point(6.86452195563 47.4569305468)
25540;47.5402222251;6.69276123061;Semondans;25;27;Point(6.69276123061 47.5402222251)
25541;46.9757494238;6.17849639031;Septfontaines;25;27;Point(6.17849639031 46.9757494238)
25542;47.2393718046;5.9349388655;Serre-les-Sapins;25;27;Point(5.9349388655 47.2393718046)
25544;47.3054149371;6.47182127802;Servin;25;27;Point(6.47182127802 47.3054149371)
25545;47.0325022535;6.13704551483;Silley-Amancey;25;27;Point(6.13704551483 47.0325022535)
25546;47.3218769577;6.33058126061;Silley-Bléfond;25;27;Point(6.33058126061 47.3218769577)
25547;47.5147289222;6.82988348099;Sochaux;25;27;Point(6.82988348099 47.5147289222)
25548;47.345000797;6.70680878537;Solemont;25;27;Point(6.70680878537 47.345000797)
25549;46.9502322879;6.24102046225;Sombacour;25;27;Point(6.24102046225 46.9502322879)
25550;47.1917958148;6.50974763085;Sommette;25;27;Point(6.50974763085 47.1917958148)
25551;47.3275454808;6.86807912248;Soulce-Cernay;25;27;Point(6.86807912248 47.3275454808)
25552;47.4100667582;6.64130121934;Sourans;25;27;Point(6.64130121934 47.4100667582)
25553;47.4521143455;6.50365970066;Soye;25;27;Point(6.50365970066 47.4521143455)
25554;47.2726795746;6.61174843961;Surmont;25;27;Point(6.61174843961 47.2726795746)
25555;47.4947013752;6.85393764134;Taillecourt;25;27;Point(6.85393764134 47.4947013752)
25556;47.4108608327;6.28718922953;Tallans;25;27;Point(6.28718922953 47.4108608327)
25557;47.3056934565;6.02035372248;Tallenay;25;27;Point(6.02035372248 47.3056934565)
25558;47.1661327751;6.10532851218;Tarcenay;25;27;Point(6.10532851218 47.1661327751)
25559;47.2711359611;6.8433767391;Thiébouhans;25;27;Point(6.8433767391 47.2711359611)
25560;47.2862704749;6.08224495009;Thise;25;27;Point(6.08224495009 47.2862704749)
25561;47.169790589;5.9098007107;Thoraise;25;27;Point(5.9098007107 47.169790589)
25562;47.4291611668;6.86009658737;Thulay;25;27;Point(6.86009658737 47.4291611668)
25563;47.3753171699;6.13573809341;Thurey-le-Mont;25;27;Point(6.13573809341 47.3753171699)
25564;47.1724802997;5.88041302138;Torpes;25;27;Point(5.88041302138 47.1724802997)
25565;46.7940131071;6.35258937692;Touillon-et-Loutelet;25;27;Point(6.35258937692 46.7940131071)
25566;47.3825738249;6.22493151895;Tour-de-Sçay;25;27;Point(6.22493151895 47.3825738249)
25567;47.3995202196;6.31218752509;Tournans;25;27;Point(6.31218752509 47.3995202196)
25569;47.1693297526;6.16989385238;Trépot;25;27;Point(6.16989385238 47.1693297526)
25570;47.4975648917;6.33629844755;Tressandans;25;27;Point(6.33629844755 47.4975648917)
25571;47.2838183983;6.87447144463;Trévillers;25;27;Point(6.87447144463 47.2838183983)
25572;47.4202800543;6.34806537347;Trouvans;25;27;Point(6.34806537347 47.4202800543)
25573;47.2569443601;6.92336911492;Urtière;25;27;Point(6.92336911492 47.2569443601)
25574;47.4657206904;6.44232255032;Uzelle;25;27;Point(6.44232255032 47.4657206904)
25575;47.2751664682;6.15290244914;Vaire;25;27;Point(6.15290244914 47.2751664682)
25576;47.2889525866;6.14880400581;Vaire-le-Petit;25;27;Point(6.14880400581 47.2889525866)
25578;47.1633469819;6.33226254465;Valdahon;25;27;Point(6.33226254465 47.1633469819)
25579;47.3602096754;6.26791337918;Val-de-Roulans;25;27;Point(6.26791337918 47.3602096754)
25580;47.4647367767;6.82570788244;Valentigney;25;27;Point(6.82570788244 47.4647367767)
25582;47.3860163944;6.12490691273;Valleroy;25;27;Point(6.12490691273 47.3860163944)
25583;47.3423640011;6.66820326069;Valonne;25;27;Point(6.66820326069 47.3423640011)
25584;47.2938610141;6.74127046044;Valoreille;25;27;Point(6.74127046044 47.2938610141)
25586;47.458634296;6.90721789075;Vandoncourt;25;27;Point(6.90721789075 47.458634296)
25587;47.2691499884;6.24816158681;Vauchamps;25;27;Point(6.24816158681 47.2691499884)
25588;47.2483159585;6.69118061201;Vaucluse;25;27;Point(6.69118061201 47.2483159585)
25589;47.2774412762;6.73416218466;Vauclusotte;25;27;Point(6.73416218466 47.2774412762)
25590;47.2837223022;6.42788857639;Vaudrivillers;25;27;Point(6.42788857639 47.2837223022)
25591;47.3405522044;6.93117850184;Vaufrey;25;27;Point(6.93117850184 47.3405522044)
25592;46.7990861399;6.23427007701;Vaux-et-Chantegrue;25;27;Point(6.23427007701 46.7990861399)
25593;47.236235248;5.88394107726;Vaux-les-Prés;25;27;Point(5.88394107726 47.236235248)
25594;47.1891068844;5.86952993228;Velesmes-Essarts;25;27;Point(5.86952993228 47.1891068844)
25595;47.3476484278;6.590540119;Vellerot-lès-Belvoir;25;27;Point(6.590540119 47.3476484278)
25596;47.2462544184;6.44292570625;Vellerot-lès-Vercel;25;27;Point(6.44292570625 47.2462544184)
25597;47.3069330762;6.50266698549;Vellevans;25;27;Point(6.50266698549 47.3069330762)
25598;47.3499226615;6.11345012494;Venise;25;27;Point(6.11345012494 47.3499226615)
25599;47.3297119389;6.23268452112;Vennans;25;27;Point(6.23268452112 47.3297119389)
25600;47.1578266243;6.54060919316;Vennes;25;27;Point(6.54060919316 47.1578266243)
25601;47.1891393068;6.38184480034;Vercel-Villedieu-le-Camp;25;27;Point(6.38184480034 47.1891393068)
25602;47.4092336161;6.39127050338;Vergranne;25;27;Point(6.39127050338 47.4092336161)
25604;47.3971039015;6.35183309634;Verne;25;27;Point(6.35183309634 47.3971039015)
25605;47.1102498067;6.29541475035;Vernierfontaine;25;27;Point(6.29541475035 47.1102498067)
25607;47.3215864263;6.64047635728;Vernois-lès-Belvoir;25;27;Point(6.64047635728 47.3215864263)
25608;47.5668061551;6.67140627153;Vernoy;25;27;Point(6.67140627153 47.5668061551)
25609;46.886228497;6.44711021726;Verrières-de-Joux;25;27;Point(6.44711021726 46.886228497)
25610;47.1921039411;6.28219587259;Verrières-du-Grosbois;25;27;Point(6.28219587259 47.1921039411)
25611;47.1973736223;6.07326086918;Vèze;25;27;Point(6.07326086918 47.1973736223)
25612;47.3366982085;6.0850051577;Vieilley;25;27;Point(6.0850051577 47.3366982085)
25613;47.4208244987;6.42192640608;Viéthorey;25;27;Point(6.42192640608 47.4208244987)
25614;47.5237437505;6.84347198387;Vieux-Charmont;25;27;Point(6.84347198387 47.5237437505)
25615;47.3679686248;6.87102265307;Villars-lès-Blamont;25;27;Point(6.87102265307 47.3679686248)
25616;47.1248376906;5.82242208897;Villars-Saint-Georges;25;27;Point(5.82242208897 47.1248376906)
25617;47.3616773268;6.75143878477;Villars-sous-Dampjoux;25;27;Point(6.75143878477 47.3616773268)
25618;47.4190484335;6.69834595037;Villars-sous-Écot;25;27;Point(6.69834595037 47.4190484335)
25619;46.7134756385;6.26609889484;Villedieu;25;27;Point(6.26609889484 46.7134756385)
25620;46.9996929987;6.49767988013;Ville-du-Pont;25;27;Point(6.49767988013 46.9996929987)
25621;46.9391063375;6.04167200953;Villeneuve-d'Amont;25;27;Point(6.04167200953 46.9391063375)
25622;47.228690115;5.85222262162;Villers-Buzon;25;27;Point(5.85222262162 47.228690115)
25623;47.2235047047;6.43819001348;Villers-Chief;25;27;Point(6.43819001348 47.2235047047)
25624;47.3615500448;6.23513809301;Villers-Grélot;25;27;Point(6.23513809301 47.3615500448)
25625;47.2405589115;6.47308632933;Villers-la-Combe;25;27;Point(6.47308632933 47.2405589115)
25626;47.3422489797;6.40450092241;Villers-Saint-Martin;25;27;Point(6.40450092241 47.3422489797)
25627;46.9017661774;6.04590580745;Villers-sous-Chalamont;25;27;Point(6.04590580745 46.9017661774)
25628;47.1453733993;6.08965365162;Villers-sous-Montrond;25;27;Point(6.08965365162 47.1453733993)
25629;47.3909535657;6.4185381191;Voillans;25;27;Point(6.4185381191 47.3909535657)
25630;47.099837579;6.25737122884;Voires;25;27;Point(6.25737122884 47.099837579)
25631;47.1527974661;5.92977645633;Vorges-les-Pins;25;27;Point(5.92977645633 47.1527974661)
25632;47.4733631824;6.78304416053;Voujeaucourt;25;27;Point(6.78304416053 47.4733631824)
25633;47.063463484;6.22114618291;Vuillafans;25;27;Point(6.22114618291 47.063463484)
25634;46.9530445219;6.3333452653;Vuillecin;25;27;Point(6.3333452653 46.9530445219)
25635;47.34826508;6.62592546022;Vyt-lès-Belvoir;25;27;Point(6.62592546022 47.34826508)
26001;44.7024063065;5.38335100127;Solaure en Diois;26;84;Point(5.38335100127 44.7024063065)
26002;45.2388897722;4.86235251807;Albon;26;84;Point(4.86235251807 45.2388897722)
26003;44.4989099133;4.94589832405;Aleyrac;26;84;Point(4.94589832405 44.4989099133)
26004;44.9822063371;5.01703375369;Alixan;26;84;Point(5.01703375369 44.9822063371)
26005;44.4942339425;4.79847467163;Allan;26;84;Point(4.79847467163 44.4942339425)
26006;44.7665515552;4.91520351074;Allex;26;84;Point(4.91520351074 44.7665515552)
26007;44.7918323658;4.90939338153;Ambonil;26;84;Point(4.90939338153 44.7918323658)
26008;44.5798033579;4.72035521485;Ancône;26;84;Point(4.72035521485 44.5798033579)
26009;45.2464246163;4.81244292927;Andancette;26;84;Point(4.81244292927 45.2464246163)
26010;45.2718637753;4.89169921081;Anneyron;26;84;Point(4.89169921081 45.2718637753)
26011;44.706679476;5.05730534436;Aouste-sur-Sye;26;84;Point(5.05730534436 44.706679476)
26012;44.4936243979;5.31166231331;Arnayon;26;84;Point(5.31166231331 44.4936243979)
26013;44.370914993;5.27351034083;Arpavon;26;84;Point(5.27351034083 44.370914993)
26014;45.1410571357;5.06059762904;Arthémonay;26;84;Point(5.06059762904 45.1410571357)
26015;44.6779492335;5.14503680871;Aubenasson;26;84;Point(5.14503680871 44.6779492335)
26016;44.3893044332;5.1543771035;Aubres;26;84;Point(5.1543771035 44.3893044332)
26017;44.6170780241;5.35427948419;Aucelon;26;84;Point(5.35427948419 44.6170780241)
26018;44.2300209805;5.42219540267;Aulan;26;84;Point(5.42219540267 44.2300209805)
26019;44.6925597423;5.29816067809;Aurel;26;84;Point(5.29816067809 44.6925597423)
26020;44.6614747098;4.9942784244;Répara-Auriples;26;84;Point(4.9942784244 44.6614747098)
26021;44.6832370782;4.97341500658;Autichamp;26;84;Point(4.97341500658 44.6832370782)
26022;44.2517233325;5.64403556412;Ballons;26;84;Point(5.64403556412 44.2517233325)
26023;44.9407100008;5.1621339854;Barbières;26;84;Point(5.1621339854 44.9407100008)
26024;44.8669475417;5.05494635699;Barcelonne;26;84;Point(5.05494635699 44.8669475417)
26025;44.6573608737;5.3674248212;Barnave;26;84;Point(5.3674248212 44.6573608737)
26026;44.1754211867;5.51622125908;Barret-de-Lioure;26;84;Point(5.51622125908 44.1754211867)
26027;44.7264116116;5.30407617795;Barsac;26;84;Point(5.30407617795 44.7264116116)
26028;45.1829648207;4.99799784463;Bathernay;26;84;Point(4.99799784463 45.1829648207)
26030;44.5149199104;5.62968857726;Bâtie-des-Fonds;26;84;Point(5.62968857726 44.5149199104)
26031;44.557639861;4.86691277503;Bâtie-Rolland;26;84;Point(4.86691277503 44.557639861)
26032;44.8296348413;5.04790034542;Baume-Cornillane;26;84;Point(5.04790034542 44.8296348413)
26033;44.3277094008;4.86882973562;Baume-de-Transit;26;84;Point(4.86882973562 44.3277094008)
26034;45.0617922342;5.22017217257;Baume-d'Hostun;26;84;Point(5.22017217257 45.0617922342)
26035;44.7778627524;5.14914685983;Beaufort-sur-Gervanne;26;84;Point(5.14914685983 44.7778627524)
26036;44.564352829;5.47041349374;Beaumont-en-Diois;26;84;Point(5.47041349374 44.564352829)
26037;44.8734831183;4.9471828168;Beaumont-lès-Valence;26;84;Point(4.9471828168 44.8734831183)
26038;45.0333702322;4.92164362037;Beaumont-Monteux;26;84;Point(4.92164362037 45.0333702322)
26039;45.0062739995;5.17662985645;Beauregard-Baret;26;84;Point(5.17662985645 45.0062739995)
26040;44.5601180012;5.55366934247;Beaurières;26;84;Point(5.55366934247 44.5601180012)
26041;45.2124337402;4.84068109312;Beausemblant;26;84;Point(4.84068109312 45.2124337402)
26042;44.8560524455;4.90520228557;Beauvallon;26;84;Point(4.90520228557 44.8560524455)
26043;44.3007007366;5.2126241299;Beauvoisin;26;84;Point(5.2126241299 44.3007007366)
26045;44.5522749544;4.93110207079;Bégude-de-Mazenc;26;84;Point(4.93110207079 44.5522749544)
26046;44.3570805263;5.35605853142;Bellecombe-Tarendol;26;84;Point(5.35605853142 44.3570805263)
26047;44.5369730578;5.43406204674;Bellegarde-en-Diois;26;84;Point(5.43406204674 44.5369730578)
26048;44.3110239354;5.18792865009;Bénivay-Ollon;26;84;Point(5.18792865009 44.3110239354)
26049;44.9656211698;5.08769941869;Bésayes;26;84;Point(5.08769941869 44.9656211698)
26050;44.320135403;5.32102321882;Bésignan;26;84;Point(5.32102321882 44.320135403)
26051;44.6116512795;5.17571070396;Bézaudun-sur-Bîne;26;84;Point(5.17571070396 44.6116512795)
26052;44.5876371833;4.86759550989;Bonlieu-sur-Roubion;26;84;Point(4.86759550989 44.5876371833)
26054;44.2980175655;4.88499526137;Bouchet;26;84;Point(4.88499526137 44.2980175655)
26055;44.6379699146;5.58442914276;Boulc;26;84;Point(5.58442914276 44.6379699146)
26056;44.5787747922;5.15114352176;Bourdeaux;26;84;Point(5.15114352176 44.5787747922)
26057;45.0171592111;5.05096546169;Bourg-de-Péage;26;84;Point(5.05096546169 45.0171592111)
26058;44.9651094188;4.89411636376;Bourg-lès-Valence;26;84;Point(4.89411636376 44.9651094188)
26059;44.9352511723;5.30425747099;Bouvante;26;84;Point(5.30425747099 44.9352511723)
26060;44.5208961489;5.22148982488;Bouvières;26;84;Point(5.22148982488 44.5208961489)
26061;45.1431766661;4.94152540117;Bren;26;84;Point(4.94152540117 45.1431766661)
26062;44.592205773;5.32569722951;Brette;26;84;Point(5.32569722951 44.592205773)
26063;44.276084918;5.27102720538;Buis-les-Baronnies;26;84;Point(5.27102720538 44.276084918)
26064;44.9082255842;5.00743034189;Chabeuil;26;84;Point(5.00743034189 44.9082255842)
26065;44.713669067;4.96072243187;Chabrillan;26;84;Point(4.96072243187 44.713669067)
26066;44.8732571795;5.17850564774;Chaffal;26;84;Point(5.17850564774 44.8732571795)
26067;44.5274785721;5.33947845963;Chalancon;26;84;Point(5.33947845963 44.5274785721)
26068;45.1545545543;5.08934603191;Chalon;26;84;Point(5.08934603191 45.1545545543)
26069;44.8119455812;5.38565949855;Chamaloc;26;84;Point(5.38565949855 44.8119455812)
26070;44.3946636765;4.87604393903;Chamaret;26;84;Point(4.87604393903 44.3946636765)
26071;45.0572285587;4.91832006545;Chanos-Curson;26;84;Point(4.91832006545 45.0572285587)
26072;45.1232050838;4.88926895841;Chantemerle-les-Blés;26;84;Point(4.88926895841 45.1232050838)
26073;44.4050171729;4.83512935454;Chantemerle-lès-Grignan;26;84;Point(4.83512935454 44.4050171729)
26074;44.9725101475;5.41245391515;Chapelle-en-Vercors;26;84;Point(5.41245391515 44.9725101475)
26075;44.4668723535;5.44466918876;Charce;26;84;Point(5.44466918876 44.4668723535)
26076;44.5423083646;5.50825607995;Charens;26;84;Point(5.50825607995 44.5423083646)
26077;45.1571098565;5.0153381269;Charmes-sur-l'Herbasse;26;84;Point(5.0153381269 45.1571098565)
26078;44.5895894991;4.95411000129;Charols;26;84;Point(4.95411000129 44.5895894991)
26079;44.9434242792;5.07948371958;Charpey;26;84;Point(5.07948371958 44.9434242792)
26080;44.6594105975;5.20902825087;Chastel-Arnaud;26;84;Point(5.20902825087 44.6594105975)
26081;44.8995418259;5.09042220366;Châteaudouble;26;84;Point(5.09042220366 44.8995418259)
26082;44.3367876244;5.17129087386;Châteauneuf-de-Bordette;26;84;Point(5.17129087386 44.3367876244)
26083;45.2359387102;4.95905904864;Châteauneuf-de-Galaure;26;84;Point(4.95905904864 45.2359387102)
26084;45.0093944288;4.95283719514;Châteauneuf-sur-Isère;26;84;Point(4.95283719514 45.0093944288)
26085;44.5034768004;4.72492988631;Châteauneuf-du-Rhône;26;84;Point(4.72492988631 44.5034768004)
26086;44.7022249654;5.48618538025;Châtillon-en-Diois;26;84;Point(5.48618538025 44.7022249654)
26087;45.095956421;5.13398617216;Châtillon-Saint-Jean;26;84;Point(5.13398617216 45.095956421)
26088;45.0109934947;5.09724548894;Chatuzange-le-Goubet;26;84;Point(5.09724548894 45.0109934947)
26089;44.4749699502;5.23878850401;Chaudebonne;26;84;Point(5.23878850401 44.4749699502)
26090;44.6310856733;5.22468176139;Chaudière;26;84;Point(5.22468176139 44.6310856733)
26091;44.3222598989;5.53474260728;Chauvac-Laux-Montaux;26;84;Point(5.53474260728 44.3222598989)
26092;45.1039110552;4.92378813351;Chavannes;26;84;Point(4.92378813351 45.1039110552)
26093;44.3776230906;4.80624945597;Clansayes;26;84;Point(4.80624945597 44.3776230906)
26094;45.1726420303;4.93358199655;Claveyson;26;84;Point(4.93358199655 45.1726420303)
26095;44.6098641585;4.93231560292;Cléon-d'Andran;26;84;Point(4.93231560292 44.6098641585)
26096;45.0801761382;4.95477665507;Clérieux;26;84;Point(4.95477665507 45.0801761382)
26097;44.7223033154;4.83295265702;Cliousclat;26;84;Point(4.83295265702 44.7223033154)
26098;44.7564934592;5.07201219882;Cobonne;26;84;Point(5.07201219882 44.7564934592)
26099;44.3849707988;4.89981524521;Colonzelle;26;84;Point(4.89981524521 44.3849707988)
26100;44.8585100129;5.10771313744;Combovin;26;84;Point(5.10771313744 44.8585100129)
26101;44.5517875724;5.1045697988;Comps;26;84;Point(5.1045697988 44.5517875724)
26102;44.6388037984;4.82780234545;Condillac;26;84;Point(4.82780234545 44.6388037984)
26103;44.4150216526;5.17856915513;Condorcet;26;84;Point(5.17856915513 44.4150216526)
26104;44.4397962744;5.40427048802;Cornillac;26;84;Point(5.40427048802 44.4397962744)
